name,Buy Price,Unlock Time,Buy Market,Sell Price,Sell Market,Profit,Relative Profit,Time Efficiency
Sticker | yuurih (Holo) | Paris 2023,2.189,0,Skinout,29.913,Buff,27.724,12.665143901324805,1189.0479182579736
P2000 | Obsidian (Well-Worn),1.014,3,Skinout,14.078999999999999,Buff,13.065,12.884615384615383,1186.9751621018318
Sticker | dennis | Atlanta 2017,2.36,0,Skinport,32.175,Buff,29.814999999999998,12.633474576271187,1186.074691477368
FAMAS | Colony (Factory New),0.096,5,Skinout,1.326,Buff,1.23,12.8125,1165.5992430996523
Sealed Graffiti | Dizzy (Jungle Green),0.07,0,Skinport,0.9359999999999999,Buff,0.8659999999999999,12.371428571428568,1161.472897848056
Sticker | Hard Cluck Life (Holo),0.312,5,Skinout,4.28025,Buff,3.96825,12.71875,1157.0704681501427
Sticker | Guardian Dragon,0.49,0,Skinport,6.4155,Buff,5.9254999999999995,12.092857142857142,1135.3196397556346
StatTrak™ XM1014 | Black Tie (Battle-Scarred),0.74,0,Skinport,9.6525,Buff,8.9125,12.04391891891892,1130.7251484691283
Autograph Capsule | Cloud9 | MLG Columbus 2016,17.21,0,Skinport,224.24025,Buff,207.03025,12.029648460197558,1129.3853879920723
Sticker | Dragon Tale,0.09,7,Skinout,1.21875,Buff,1.12875,12.541666666666666,1126.9153817584972
Souvenir FAMAS | CaliCamo (Factory New),0.066,7,Skinout,0.8775,Buff,0.8114999999999999,12.295454545454543,1104.7923072147632
M4A4 | Urban DDPAT (Battle-Scarred),0.067,1,Skinout,0.858,Buff,0.7909999999999999,11.80597014925373,1101.4470312590945
StatTrak™ Five-SeveN | Fowl Play (Well-Worn),3.415,0,Skinout,43.29,Buff,39.875,11.676427525622255,1096.2237737053235
Souvenir P90 | Ancient Earth (Minimal Wear),0.02,0,Skinport,0.2535,Buff,0.2335,11.675,1096.0897526170024
Souvenir PP-Bizon | Facility Sketch (Field-Tested),0.15,0,Skinport,1.9012499999999999,Buff,1.75125,11.675,1096.0897526170024
Souvenir MP7 | Tall Grass (Field-Tested),0.04,0,Skinport,0.507,Buff,0.467,11.675,1096.0897526170024
M4A4 | Urban DDPAT (Field-Tested),0.07,0,Skinport,0.88725,Buff,0.81725,11.674999999999999,1096.0897526170022
Nova | Walnut (Battle-Scarred),1.54,0,Skinport,19.5,Buff,17.96,11.662337662337663,1094.9009681582559
Sawed-Off | Irradiated Alert (Well-Worn),6.62,0,Skinport,82.875,Buff,76.255,11.518882175226585,1081.4328662842402
MAC-10 | Classic Crate (Battle-Scarred),0.05,0,Skinport,0.624,Buff,0.574,11.479999999999999,1077.7824719523069
SSG 08 | Lichen Dashed (Battle-Scarred),1.96,0,Skinport,24.413999999999998,Buff,22.453999999999997,11.45612244897959,1075.5407641158135
Sealed Graffiti | Rly (Tracer Yellow),0.04,0,Skinport,0.49724999999999997,Buff,0.45725,11.43125,1073.2056517861333
Sealed Graffiti | Chef Kiss (Desert Amber),0.08,0,Skinport,0.9944999999999999,Buff,0.9145,11.43125,1073.2056517861333
StatTrak™ SG 553 | Colony IV (Well-Worn),11.41,0,Skinport,141.68699999999998,Buff,130.277,11.417791411042943,1071.9421124764533
Sealed Graffiti | Applause (SWAT Blue),0.1,0,Skinport,1.23825,Buff,1.13825,11.382499999999999,1068.6288316199593
Sticker | NEO (Foil) | Cologne 2015,15.53,0,Skinport,191.5875,Buff,176.0575,11.336606567933034,1064.3201960224412
Souvenir P90 | Desert DDPAT (Factory New),0.02,0,Skinport,0.24375,Buff,0.22375,11.1875,1050.3215509552645
StatTrak™ FAMAS | Commemoration (Well-Worn),24.81,0,Skinout,302.1915,Buff,277.3815,11.180229746070134,1049.638994138866
Sticker | NEOFRAG (Holo) | Paris 2023,0.259,0,Skinout,3.14925,Buff,2.89025,11.159266409266408,1047.6708829053568
Sticker | KEi (Holo) | Paris 2023,2.001,0,Skinout,24.26775,Buff,22.26675,11.127811094452774,1044.7177481531025
MAG-7 | Cobalt Core (Well-Worn),0.096,8,Skinout,1.21875,Buff,1.12275,11.695312499999998,1044.448140673001
Sealed Graffiti | Dizzy (Frog Green),0.07,0,Skinport,0.84825,Buff,0.7782499999999999,11.11785714285714,1043.783236432159
Sticker | drop (Holo) | Paris 2023,2.65,0,Skinport,32.0775,Buff,29.427500000000002,11.104716981132077,1042.5495921825168
Sealed Graffiti | Silver Bullet (Princess Pink),0.05,0,Skinport,0.6045,Buff,0.5545,11.09,1041.167910622917
Sealed Graffiti | Smooch (Monarch Blue),0.05,0,Skinport,0.6045,Buff,0.5545,11.09,1041.167910622917
Sticker | speed4k | Berlin 2019,0.08,0,Skinport,0.9652499999999999,Buff,0.88525,11.065624999999999,1038.87950053983
Souvenir P90 | Ancient Earth (Factory New),0.03,0,Skinport,0.36075,Buff,0.33075,11.025,1035.0654837346851
P90 | Off World (Field-Tested),0.087,3,Skinout,1.06275,Buff,0.9757500000000001,11.215517241379313,1033.2120904080437
★ StatTrak™ Gut Knife | Lore (Battle-Scarred),162.78,0,Skinport,1950.0,Buff,1787.22,10.979358643568006,1030.7805138776703
Souvenir G3SG1 | Safari Mesh (Well-Worn),0.099,5,Skinout,1.21875,Buff,1.11975,11.31060606060606,1028.9665454236695
Negev | Prototype (Field-Tested),0.04,0,Skinport,0.47775,Buff,0.43775000000000003,10.94375,1027.4374501243956
P2000 | Grassland (Well-Worn),2.5,0,Skinport,29.68875,Buff,27.18875,10.875499999999999,1021.0299018917523
Souvenir MP7 | Army Recon (Minimal Wear),12.56,0,Skinport,148.2,Buff,135.64,10.79936305732484,1013.8818999506962
Sticker | Goofy (Gold) | Paris 2023,2.76,0,Skinout,32.53575,Buff,29.775750000000002,10.788315217391306,1012.8446901742765
Sealed Graffiti | Loser (Cash Green),0.02,0,Skinport,0.23399999999999999,Buff,0.214,10.7,1004.5533492935267
AUG | Ricochet (Well-Worn),0.09,0,Skinport,1.053,Buff,0.963,10.7,1004.5533492935267
Souvenir SG 553 | Bleached (Factory New),0.04,0,Skinport,0.46799999999999997,Buff,0.428,10.7,1004.5533492935267
Sealed Graffiti | NT (Tracer Yellow),0.09,0,Skinport,1.053,Buff,0.963,10.7,1004.5533492935267
Sealed Graffiti | Bock Bock (Wire Blue),0.04,0,Skinport,0.46799999999999997,Buff,0.428,10.7,1004.5533492935267
Sealed Graffiti | Oops (Tracer Yellow),0.05,0,Skinport,0.585,Buff,0.5349999999999999,10.699999999999998,1004.5533492935265
Sealed Graffiti | Smooch (Monster Purple),0.07,0,Skinport,0.819,Buff,0.7489999999999999,10.699999999999998,1004.5533492935265
StatTrak™ Swap Tool,0.334,0,Skinout,3.9,Buff,3.566,10.676646706586824,1002.3608605911678
Sticker | mezii (Holo) | Paris 2023,0.647,0,Skinout,7.5367500000000005,Buff,6.88975,10.648763523956724,999.7430900771462
Desert Eagle | Bronze Deco (Battle-Scarred),0.61,0,Skinport,7.0882499999999995,Buff,6.478249999999999,10.620081967213114,997.0503654145532
Tec-9 | Flash Out (Battle-Scarred),0.057,1,Skinout,0.663,Buff,0.606,10.631578947368421,991.8813042158882
Sticker | torzsi (Holo) | Paris 2023,2.1,0,Skinport,24.26775,Buff,22.167749999999998,10.556071428571427,991.040832612442
Sticker | xertioN (Holo) | Paris 2023,1.701,7,Skinout,20.445749999999997,Buff,18.744749999999996,11.019841269841267,990.1737114834191
Five-SeveN | Fall Hazard (Battle-Scarred),168.96,0,Skinport,1949.0249999999999,Buff,1780.0649999999998,10.535422585227272,989.1022471226842
P90 | Glacier Mesh (Well-Worn),6.76,0,Skinport,77.80499999999999,Buff,71.04499999999999,10.509615384615383,986.6793770469308
Sticker | dgt (Holo) | Antwerp 2022,2.59,0,Skinout,29.796,Buff,27.206,10.504247104247105,986.1753841475007
