Name,Buy Market,Buy Price,Sell Market,Sell Price,Relative Profit,Profit
StatTrak™ Galil AR | Connexion (Well-Worn),Skinout,0.579,Buff,0.7082384400000001,0.22320974093264281,0.12923844000000018
R8 Revolver | Crazy 8 (Well-Worn),Skinout,0.304,Buff,0.37158072000000003,0.22230500000000014,0.06758072000000004
AWP | Worm God (Well-Worn),Skinout,0.895,Buff,1.09378836,0.22210989944134077,0.19878836
Desert Eagle | Corinthian (Field-Tested),Skinout,0.127,Buff,0.15505812000000002,0.22093007874015763,0.02805812000000002
StatTrak™ Five-SeveN | Flame Test (Well-Worn),Skinout,0.132,Buff,0.1606458,0.21701363636363635,0.0286458
StatTrak™ MP7 | Akoben (Factory New),Skinout,0.574,Buff,0.6984600000000001,0.21682926829268317,0.12446000000000013
StatTrak™ MP7 | Akoben (Factory New),Skinout,0.574,Buff,0.6984600000000001,0.21682926829268317,0.12446000000000013
Five-SeveN | Scrawl (Factory New),Skinout,0.177,Buff,0.21512568,0.21539932203389844,0.03812568000000002
"Sticker | apEX (Gold, Champion) | Paris 2023",Skinout,1.086,Buff,1.31869248,0.21426563535911589,0.23269247999999987
StatTrak™ SSG 08 | Necropos (Well-Worn),Skinout,0.297,Buff,0.36040536000000006,0.21348606060606087,0.06340536000000008
StatTrak™ FAMAS | Decommissioned (Field-Tested),Skinout,0.137,Buff,0.16623348000000002,0.21338306569343068,0.029233480000000006
P90 | Ash Wood (Field-Tested),Skinout,0.098,Buff,0.1187382,0.2116142857142857,0.0207382
Desert Eagle | Urban DDPAT (Minimal Wear),Skinout,1.603,Buff,1.9417188000000003,0.21130305676855915,0.3387188000000003
Sticker | buster (Holo) | Antwerp 2022,Skinout,1.474,Buff,1.7838668400000002,0.21022173677069214,0.3098668400000002
P250 | Exchanger (Minimal Wear),Skinout,0.344,Buff,0.41628216,0.210122558139535,0.07228216000000004
Black Mesa Pin,Skinout,2.378,Buff,2.8734644400000002,0.20835342304457533,0.4954644400000001
AWP | Phobos (Well-Worn),Skinout,1.845,Buff,2.2280874,0.20763544715447166,0.3830874000000002
StatTrak™ Tec-9 | Cracked Opal (Minimal Wear),Skinout,0.206,Buff,0.24865176000000003,0.2070473786407769,0.04265176000000004
StatTrak™ Tec-9 | Fubar (Field-Tested),Skinout,0.088,Buff,0.10616592000000001,0.20643090909090928,0.018165920000000016
FAMAS | Teardown (Well-Worn),Skinout,0.168,Buff,0.20255340000000002,0.20567500000000005,0.03455340000000001
StatTrak™ Five-SeveN | Retrobution (Battle-Scarred),Skinout,0.81,Buff,0.9764470800000001,0.2054902222222223,0.16644708000000008
MAG-7 | Heat (Field-Tested),Skinout,0.226,Buff,0.2723994,0.20530707964601771,0.04639940000000001
MAG-7 | Heaven Guard (Field-Tested),Skinout,0.167,Buff,0.20115648,0.20452982035928136,0.03415647999999999
Sticker | FaZe Clan (Glitter) | Antwerp 2022,Skinout,0.326,Buff,0.39253452000000005,0.20409361963190195,0.06653452000000004
Sticker | Kimberly,Skinout,0.26,Buff,0.31291008000000003,0.20350030769230779,0.052910080000000026
USP-S | Black Lotus (Battle-Scarred),Skinout,0.344,Buff,0.41348832,0.2020009302325583,0.06948832000000005
Tec-9 | Bamboozle (Well-Worn),Skinout,0.2,Buff,0.24027024000000002,0.20135120000000006,0.04027024000000001
StatTrak™ Dual Berettas | Elite 1.6 (Battle-Scarred),Skinout,0.121,Buff,0.14527968000000002,0.20065851239669444,0.024279680000000026
StatTrak™ MP5-SD | Necro Jr. (Minimal Wear),Skinout,0.206,Buff,0.24725484000000003,0.20026621359223323,0.04125484000000004
Dual Berettas | Elite 1.6 (Field-Tested),Skinout,0.078,Buff,0.09359364000000002,0.1999184615384618,0.01559364000000002
MAC-10 | Ultraviolet (Field-Tested),Skinout,0.921,Buff,1.1049637200000002,0.19974345276872982,0.18396372000000016
Patch | Koi,Skinout,0.559,Buff,0.6705216,0.1995019677996422,0.1115216
SSG 08 | Hand Brake (Battle-Scarred),Skinout,0.266,Buff,0.31849776,0.19736,0.052497760000000004
SSG 08 | Hand Brake (Battle-Scarred),Skinout,0.266,Buff,0.31849776,0.19736,0.052497760000000004
