Name,Buy Market,Buy Price,Sell Market,Sell Price,Relative Profit,Profit
R8 Revolver | Grip (Minimal Wear),Skinout,0.049,Buff,0.06562375,1.3392602040816326,0.016623749999999993
Dual Berettas | Cobalt Quartz (Field-Tested),Skinout,0.069,Buff,0.0921525,1.3355434782608695,0.023152499999999993
Negev | Man-o'-war (Minimal Wear),Skinout,0.068,Buff,0.09075625,1.3346507352941175,0.022756249999999992
MP7 | Urban Hazard (Minimal Wear),Skinout,0.068,Buff,0.09075625,1.3346507352941175,0.022756249999999992
SSG 08 | Jungle Dashed (Well-Worn),Skinout,0.261,Buff,0.34766625,1.3320545977011493,0.08666625
PP-Bizon | Night Ops (Factory New),Skinout,0.061,Buff,0.0809825,1.3275819672131148,0.0199825
StatTrak™ Negev | Ultralight (Field-Tested),Skinout,0.059,Buff,0.07819000000000001,1.3252542372881357,0.019190000000000013
StatTrak™ MAG-7 | Popdog (Field-Tested),Skinout,0.078,Buff,0.1033225,1.3246474358974358,0.025322499999999998
StatTrak™ Dual Berettas | Cartel (Battle-Scarred),Skinout,0.239,Buff,0.31555249999999996,1.3203033472803347,0.07655249999999997
StatTrak™ Negev | Prototype (Field-Tested),Skinout,0.073,Buff,0.09634124999999999,1.3197431506849315,0.023341249999999994
Sticker | Mastermind,Skinout,0.068,Buff,0.08936,1.3141176470588234,0.02135999999999999
SCAR-20 | Storm (Field-Tested),Skinout,1.41,Buff,1.8514275,1.3130691489361703,0.4414275000000001
StatTrak™ MAG-7 | Popdog (Minimal Wear),Skinout,0.164,Buff,0.2150225,1.3111128048780487,0.0510225
Tec-9 | Snek-9 (Well-Worn),Skinout,0.065,Buff,0.08517125,1.310326923076923,0.02017125
Dual Berettas | Shred (Field-Tested),Skinout,0.078,Buff,0.10192625,1.3067467948717948,0.023926249999999996
StatTrak™ Five-SeveN | Flame Test (Battle-Scarred),Skinout,0.06,Buff,0.07819000000000001,1.3031666666666668,0.01819000000000001
StatTrak™ MP9 | Bioleak (Well-Worn),Skinout,0.225,Buff,0.2932125,1.3031666666666666,0.06821249999999998
Sticker | Little Mischief,Skinout,0.075,Buff,0.09773749999999999,1.3031666666666666,0.022737499999999994
Glock-18 | Clear Polymer (Field-Tested),Skinout,0.059,Buff,0.07679375000000001,1.3015889830508476,0.01779375000000001
R8 Revolver | Crimson Web (Field-Tested),Skinout,0.059,Buff,0.07679375000000001,1.3015889830508476,0.01779375000000001
SSG 08 | Slashed (Well-Worn),Skinout,1.581,Buff,2.05667625,1.300870493358634,0.47567625000000024
StatTrak™ P2000 | Oceanic (Battle-Scarred),Skinout,0.073,Buff,0.094945,1.3006164383561645,0.021945000000000006
